date,county code,number of cold case,county name
2015-08-24,11110.0,891.0,Jongno
2015-08-25,11110.0,597.0,Jongno
2015-08-26,11110.0,677.0,Jongno
2015-08-27,11110.0,661.0,Jongno
2015-08-28,11110.0,720.0,Jongno
2015-08-29,11110.0,559.0,Jongno
2015-08-30,11110.0,80.0,Jongno
2015-08-31,11110.0,1052.0,Jongno
2015-09-01,11110.0,723.0,Jongno
2015-09-02,11110.0,660.0,Jongno
2015-09-03,11110.0,698.0,Jongno
2015-09-04,11110.0,817.0,Jongno
2015-09-05,11110.0,609.0,Jongno
2015-09-06,11110.0,120.0,Jongno
2015-09-07,11110.0,1203.0,Jongno
2015-09-08,11110.0,866.0,Jongno
2015-09-09,11110.0,864.0,Jongno
2015-09-10,11110.0,963.0,Jongno
2015-09-11,11110.0,907.0,Jongno
2015-09-12,11110.0,787.0,Jongno
2015-09-13,11110.0,121.0,Jongno
2015-09-14,11110.0,1320.0,Jongno
2015-09-15,11110.0,924.0,Jongno
2015-09-16,11110.0,930.0,Jongno
2015-09-17,11110.0,922.0,Jongno
2015-09-18,11110.0,1091.0,Jongno
2015-09-19,11110.0,774.0,Jongno
2015-09-20,11110.0,128.0,Jongno
2015-09-21,11110.0,1317.0,Jongno
2015-09-22,11110.0,932.0,Jongno
2015-09-23,11110.0,940.0,Jongno
2015-09-24,11110.0,1044.0,Jongno
2015-09-25,11110.0,1379.0,Jongno
2015-09-26,11110.0,154.0,Jongno
2015-09-27,11110.0,41.0,Jongno
2015-09-28,11110.0,111.0,Jongno
2015-09-29,11110.0,611.0,Jongno
2015-09-30,11110.0,1456.0,Jongno
2015-10-01,11110.0,842.0,Jongno
2015-10-02,11110.0,1046.0,Jongno
2015-10-03,11110.0,324.0,Jongno
2015-10-04,11110.0,122.0,Jongno
2015-10-05,11110.0,1456.0,Jongno
2015-10-06,11110.0,845.0,Jongno
2015-10-07,11110.0,848.0,Jongno
2015-10-08,11110.0,1038.0,Jongno
2015-10-09,11110.0,205.0,Jongno
2015-10-10,11110.0,863.0,Jongno
2015-10-11,11110.0,101.0,Jongno
2015-10-12,11110.0,1318.0,Jongno
2015-10-13,11110.0,856.0,Jongno
2015-10-14,11110.0,825.0,Jongno
2015-10-15,11110.0,866.0,Jongno
2015-10-16,11110.0,889.0,Jongno
2015-10-17,11110.0,711.0,Jongno
2015-10-18,11110.0,117.0,Jongno
2015-10-19,11110.0,1328.0,Jongno
2015-10-20,11110.0,822.0,Jongno
2015-10-21,11110.0,876.0,Jongno
2015-10-22,11110.0,854.0,Jongno
2015-10-23,11110.0,958.0,Jongno
2015-10-24,11110.0,695.0,Jongno
2015-10-25,11110.0,119.0,Jongno
2015-10-26,11110.0,1312.0,Jongno
2015-10-27,11110.0,898.0,Jongno
2015-10-28,11110.0,942.0,Jongno
2015-10-29,11110.0,983.0,Jongno
2015-10-30,11110.0,1069.0,Jongno
2015-10-31,11110.0,849.0,Jongno
2015-11-01,11110.0,131.0,Jongno
2015-11-02,11110.0,1616.0,Jongno
2015-11-03,11110.0,1009.0,Jongno
2015-11-04,11110.0,944.0,Jongno
2015-11-05,11110.0,996.0,Jongno
2015-11-06,11110.0,1036.0,Jongno
2015-11-07,11110.0,804.0,Jongno
2015-11-08,11110.0,132.0,Jongno
2015-11-09,11110.0,1416.0,Jongno
2015-11-10,11110.0,882.0,Jongno
2015-11-11,11110.0,950.0,Jongno
2015-11-12,11110.0,927.0,Jongno
2015-11-13,11110.0,942.0,Jongno
2015-11-14,11110.0,817.0,Jongno
2015-11-15,11110.0,102.0,Jongno
2015-11-16,11110.0,1366.0,Jongno
2015-11-17,11110.0,910.0,Jongno
2015-11-18,11110.0,868.0,Jongno
2015-11-19,11110.0,972.0,Jongno
2015-11-20,11110.0,1116.0,Jongno
2015-11-21,11110.0,799.0,Jongno
2015-11-22,11110.0,109.0,Jongno
2015-11-23,11110.0,1453.0,Jongno
2015-11-24,11110.0,1090.0,Jongno
2015-11-25,11110.0,1000.0,Jongno
2015-11-26,11110.0,1010.0,Jongno
2015-11-27,11110.0,1151.0,Jongno
2015-11-28,11110.0,893.0,Jongno
2015-11-29,11110.0,119.0,Jongno
2015-11-30,11110.0,1577.0,Jongno
2015-12-01,11110.0,1016.0,Jongno
2015-12-02,11110.0,987.0,Jongno
2015-12-03,11110.0,933.0,Jongno
2015-12-04,11110.0,1169.0,Jongno
2015-12-05,11110.0,941.0,Jongno
2015-12-06,11110.0,125.0,Jongno
2015-12-07,11110.0,1495.0,Jongno
2015-12-08,11110.0,1045.0,Jongno
