date,county code,number of cold case,county name
2014-12-29,11110,1511,Jongno
2014-12-30,11110,1085,Jongno
2014-12-31,11110,1215,Jongno
2015-01-01,11110,56,Jongno
2015-01-02,11110,1475,Jongno
2015-01-03,11110,842,Jongno
2015-01-04,11110,127,Jongno
2015-01-05,11110,1497,Jongno
2015-01-06,11110,958,Jongno
2015-01-07,11110,919,Jongno
2015-01-08,11110,948,Jongno
2015-01-09,11110,1069,Jongno
2015-01-10,11110,772,Jongno
2015-01-11,11110,104,Jongno
2015-01-12,11110,1377,Jongno
2015-01-13,11110,933,Jongno
2015-01-14,11110,985,Jongno
2015-01-15,11110,900,Jongno
2015-01-16,11110,1054,Jongno
2015-01-17,11110,773,Jongno
2015-01-18,11110,122,Jongno
2015-01-19,11110,1307,Jongno
2015-01-20,11110,893,Jongno
2015-01-21,11110,936,Jongno
2015-01-22,11110,979,Jongno
2015-01-23,11110,1111,Jongno
2015-01-24,11110,805,Jongno
2015-01-25,11110,128,Jongno
2015-01-26,11110,1462,Jongno
2015-01-27,11110,975,Jongno
2015-01-28,11110,970,Jongno
2015-01-29,11110,1051,Jongno
2015-01-30,11110,1074,Jongno
2015-01-31,11110,890,Jongno
2015-02-01,11110,139,Jongno
2015-02-02,11110,1604,Jongno
2015-02-03,11110,1056,Jongno
2015-02-04,11110,1110,Jongno
2015-02-05,11110,1125,Jongno
2015-02-06,11110,1240,Jongno
2015-02-07,11110,993,Jongno
2015-02-08,11110,126,Jongno
2015-02-09,11110,1695,Jongno
2015-02-10,11110,1153,Jongno
2015-02-11,11110,1176,Jongno
2015-02-12,11110,1225,Jongno
2015-02-13,11110,1371,Jongno
2015-02-14,11110,1069,Jongno
2015-02-15,11110,138,Jongno
2015-02-16,11110,1833,Jongno
2015-02-17,11110,1850,Jongno
2015-02-18,11110,221,Jongno
2015-02-19,11110,69,Jongno
2015-02-20,11110,183,Jongno
2015-02-21,11110,960,Jongno
2015-02-22,11110,163,Jongno
2015-02-23,11110,1791,Jongno
2015-02-24,11110,1098,Jongno
2015-02-25,11110,1085,Jongno
2015-02-26,11110,1046,Jongno
2015-02-27,11110,1041,Jongno
2015-02-28,11110,860,Jongno
2015-03-01,11110,89,Jongno
2015-03-02,11110,1386,Jongno
2015-03-03,11110,895,Jongno
2015-03-04,11110,961,Jongno
2015-03-05,11110,941,Jongno
2015-03-06,11110,1020,Jongno
2015-03-07,11110,840,Jongno
2015-03-08,11110,152,Jongno
2015-03-09,11110,1375,Jongno
2015-03-10,11110,857,Jongno
2015-03-11,11110,1006,Jongno
2015-03-12,11110,981,Jongno
2015-03-13,11110,1111,Jongno
2015-03-14,11110,947,Jongno
2015-03-15,11110,146,Jongno
2015-03-16,11110,1593,Jongno
2015-03-17,11110,1093,Jongno
2015-03-18,11110,1112,Jongno
2015-03-19,11110,1178,Jongno
2015-03-20,11110,1258,Jongno
2015-03-21,11110,1106,Jongno
2015-03-22,11110,167,Jongno
2015-03-23,11110,1876,Jongno
